Product_ID,Cluster
203030101,2
101050703,22
102050701,27
202040503,29
103010103,13
204040602,29
101030409,37
201010508,28
102060703,0
103040101,2
102050603,13
202030501,27
101050410,39
101050702,22
102030402,27
102030603,13
101050309,22
103020401,42
102030203,27
102020201,40
102020204,40
103040310,3
110050506,23
104010201,31
104030104,7
104041001,29
102050401,1
102010109,32
101050202,1
104060104,34
104020204,33
203061008,12
104010506,5
210020406,20
201060310,43
103060209,14
103020210,40
109020303,44
210050409,23
104060507,12
110050308,24
110050307,23
210050209,24
102030601,27
104020603,10
104030408,4
102050601,27
104010107,5
202060302,6
101060505,8
210050109,24
101030806,41
103050505,23
103010509,11
201030303,4
103050408,21
101050507,1
101030301,37
203010103,13
102050907,1
101020309,9
204010110,5
209010109,35
201040804,17
103030908,37
103040202,3
101020203,44
103060207,14
109021009,35
204031009,38
101010201,28
109011008,35
101060304,8
103010603,13
204011007,5
104031007,36
201020509,9
201060604,43
210060107,24
101030605,37
104060808,12
101010708,28
203060309,18
103050409,14
203040101,2
103010508,11
201050409,39
101050501,39
101020706,9
103010101,2
203030108,2
104060801,12
101040410,21
103020407,42
101060608,43
101051001,39
103040110,30
101040904,17
101060309,43
103040308,3
101010401,28
202060901,6
302030101,27
203060803,14
102050101,1
101030708,4
104030807,36
102061008,12
104020102,10
201060705,43
102061002,32
102050910,32
101030302,37
101050105,39
201040708,26
103020901,42
101010408,28
103050310,15
204051010,15
104061009,12
101060905,43
203041010,3
103020805,16
104051009,15
103020601,42
104020909,10
203050606,18
202060103,6
101030705,37
201050804,1
201010208,28
101030101,2
103010804,14
101060806,41
101030508,4
104011008,5
103040410,42
104040408,34
202050208,32
101030410,41
208020101,2
102060306,6
302030401,27
102060805,0
204030307,36
102031006,27
102030209,40
101060109,43
110010804,17
104020210,33
201020209,9
208010310,25
204050805,15
201040509,26
103050106,30
103030504,2
203060502,6
103020503,44
103020903,44
110020208,20
201030905,37
102030609,27
104040706,29
104010509,5
204010508,5
102010609,11
104030705,7
201050905,1
103060904,18
202060903,6
104050905,15
103060807,14
102010503,11
303060701,14
103020607,42
201040709,26
203040206,30
203030309,37
103060106,18
103060408,14
201040307,26
103020410,42
104050601,15
106010604,13
110020606,20
202020503,44
110020605,20
104010605,31
203030401,42
110020505,20
204050706,22
102030401,27
104040402,29
105060504,6
104050504,23
201010605,28
103040401,21
103020310,42
104030301,36
103020408,42
109060605,8
101020210,9
110030403,27
204060210,12
104050402,15
107040505,29
110050806,23
102060501,6
110050903,24
110040806,19
102020407,0
204060209,12
204020606,10
108050503,13
204040103,29
109030805,7
203030603,13
101040604,17
104040806,19
109021006,35
104021006,10
110020104,20
103030404,14
101010702,28
210040907,23
103060404,14
210010907,25
110050104,24
101060407,8
103010706,11
201020704,9
103040606,3
101060403,8
104010106,5
203060504,14
104040704,17
304030201,33
101010805,28
203060704,18
202020110,32
103040106,30
102020206,40
103030701,2
104050704,15
103060210,14
103050206,19
103010606,13
103021005,16
103040103,30
103060105,2
210051005,24
103010704,11
101050806,39
104060203,33
103030806,19
201040105,29
110010905,25
201060803,8
201060203,8
103050205,16
104010805,31
203050603,3
205020608,20
202030506,27
103040201,3
203040108,30
102060606,6
102030705,0
302060309,6
102020705,0
202050108,32
103041007,3
106040401,21
102040704,17
103050405,21
101040905,26
104020704,10
104040309,26
201030208,4
101030206,41
102040108,32
103031010,2
104040201,33
104040604,29
203050806,19
103060706,18
203050308,15
101020107,9
102060508,32
103040604,3
101030804,37
102030307,36
204020507,10
104040703,29
103050809,38
102040705,0
102040505,0
208050601,1
103020705,16
105060401,21
304040501,29
101030507,41
110010509,25
101030603,37
204010510,5
104060401,34
304060809,38
201030402,41
104010508,5
202010703,11
101040309,26
101050807,39
104030809,38
109010403,11
110050503,23
102060509,6
104030607,36
109020704,35
110020308,20
104050308,15
210050508,23
102030403,27
204030701,7
104060601,12
204020607,10
309020701,35
103040506,30
103020501,42
101020705,9
207060709,18
104010205,31
101060405,8
302060210,32
101060710,8
103040409,21
102060910,32
102030305,7
103030709,37
102050609,22
104050309,15
101030809,37
201050709,22
110060408,34
103060607,3
102010801,11
110030307,36
203030105,2
110010307,25
204010801,5
105030609,38
103010205,31
102010504,11
102050801,27
104060403,34
301050706,39
104060408,34
203020506,42
103040607,3
203040403,21
101040302,26
108030809,38
210010406,20
103020809,16
107010903,11
102030109,32
107020803,44
210021005,20
102061009,32
104020907,10
204040908,29
201030110,37
104020805,10
104020807,10
210041007,24
307020803,44
204051007,15
101050801,1
101020905,9
201020804,17
102010903,11
202060804,6
210030206,19
104020201,33
102060108,32
101030501,41
101050805,1
203030809,38
101020510,9
103021002,16
204030805,7
201030308,4
101061005,8
104020905,10
101020310,9
104020410,10
103060310,18
304010806,5
110051007,24
110060806,12
103010301,2
105020301,9
206010301,25
110010907,25
102040804,17
104050310,15
104030704,7
107020201,33
104061006,12
103040203,3
201040303,26
104050806,19
201020401,9
201060202,43
107050102,32
101020503,44
103030904,2
101040401,21
102040905,0
207060703,18
107010703,11
101011005,28
204051005,15
104030804,7
108060605,8
108060502,6
107030705,7
101050803,1
207040405,21
206030703,7
106050707,22
103011005,16
